X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2.120007,41.382932,"0","0","219",59.937,2026/06/01 13:49:54+00,,,,,,,,,,,,,,,,,,,,,
2.119946,41.382918,"0","0","220",59.633,2026/06/01 13:49:58+00,,,,,,,,,,,,,,,,,,,,,
2.11988,41.38289,"0","0","221",59.332,2026/06/01 13:50:02+00,,,,,,,,,,,,,,,,,,,,,
2.119817,41.382884,"0","0","222",58.792,2026/06/01 13:50:07+00,,,,,,,,,,,,,,,,,,,,,
2.119757,41.382865,"0","0","223",58.211,2026/06/01 13:50:11+00,,,,,,,,,,,,,,,,,,,,,
2.119695,41.382838,"0","0","224",57.809,2026/06/01 13:50:16+00,,,,,,,,,,,,,,,,,,,,,
2.119633,41.382813,"0","0","225",57.515,2026/06/01 13:50:20+00,,,,,,,,,,,,,,,,,,,,,
2.119576,41.382799,"0","0","226",57.499,2026/06/01 13:50:46+00,,,,,,,,,,,,,,,,,,,,,
2.119514,41.382785,"0","0","227",57.44,2026/06/01 13:50:53+00,,,,,,,,,,,,,,,,,,,,,
2.11945,41.382802,"0","0","228",57.455,2026/06/01 13:50:57+00,,,,,,,,,,,,,,,,,,,,,
2.119389,41.382782,"0","0","229",57.429,2026/06/01 13:50:59+00,,,,,,,,,,,,,,,,,,,,,
2.119325,41.382786,"0","0","230",57.416,2026/06/01 13:51:06+00,,,,,,,,,,,,,,,,,,,,,
2.119257,41.382773,"0","0","231",57.557,2026/06/01 13:51:12+00,,,,,,,,,,,,,,,,,,,,,
2.119193,41.382786,"0","0","232",57.572,2026/06/01 13:51:17+00,,,,,,,,,,,,,,,,,,,,,
2.11916,41.382835,"0","0","233",57.498,2026/06/01 13:51:23+00,,,,,,,,,,,,,,,,,,,,,
